ops_type_merged,target,best_baseline_model,best_baseline_rmse,lgbm_model,lgbm_rmse,improve_ratio,improve_pct
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.0658804303610426,lgbm_global,0.0353382314355493,0.4636004767745714,46.36004767745714
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.0982930813498164,lgbm_global,0.0617577372522942,0.37169802386697126,37.16980238669713
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.0260681921396344,lgbm_global,0.015203930041334,0.41676315872255076,41.676315872255074
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.0286486689615255,lgbm_global,0.0203249951198127,0.2905431262056643,29.05431262056643
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.0646334208716132,lgbm_global,0.0565406032594714,0.12521103638034636,12.521103638034637
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.0888510636215281,lgbm_global,0.0609482305917568,0.31404050657881605,31.404050657881605
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.0583395435085811,lgbm_global,0.0370961899365325,0.3641330098670371,36.41330098670371
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.0639253928510112,lgbm_global,0.0500095739475776,0.21768843776786387,21.768843776786387
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.0363208078280312,lgbm_global,0.0300997941571754,0.17127960645342885,17.127960645342885
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.0727843020991026,lgbm_global,0.052103649013337,0.28413617345134345,28.413617345134345
90天在尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.0154774508538446,lgbm_global,0.0153193137973136,0.010217254638655065,1.0217254638655064
喚回-其他,trip_cnt_per_user,baseline_roll4,0.0201694146657521,lgbm_global,0.0197966711379288,0.018480631887459957,1.8480631887459957
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.0493637367097456,lgbm_global,0.0484877303812766,0.017745948480761095,1.7745948480761096
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.0603134487838565,lgbm_global,0.04704018806912,0.22007132708168436,22.007132708168438
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.0393438749959694,lgbm_global,0.0275343170425387,0.30016255273890874,30.016255273890874
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.040406581876428,lgbm_global,0.0339790077816103,0.159072452960129,15.907245296012901
