treatment,target,model,MAE,RMSE,n
15x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.04633145866537733,0.05876884718588991,24
15x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.045972266517731654,0.05835193526079892,24
15x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.028674730314572974,0.03756795413309739,24
15元1張,nonrepeat_cnt_per_user,baseline_lag1,0.053489356286806046,0.0719971364072367,24
15元1張,nonrepeat_cnt_per_user,baseline_roll4,0.046983541954554786,0.059965327015466564,24
15元1張,nonrepeat_cnt_per_user,lgbm_global,0.03148311389686698,0.04009725616045475,24
20x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.05538234624888815,0.07065024472800728,24
20x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.04229663348383792,0.05620419167087933,24
20x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.02591097064518208,0.03584179538347263,24
20元1張,nonrepeat_cnt_per_user,baseline_lag1,0.0866786848528786,0.12309785808820659,24
20元1張,nonrepeat_cnt_per_user,baseline_roll4,0.060863822157904646,0.07744667172148746,24
20元1張,nonrepeat_cnt_per_user,lgbm_global,0.040825372622609886,0.05611757706202686,24
30x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.07540279256279488,0.10294928682977461,24
30x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.0585946842858745,0.0758751966730974,24
30x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.03892872955762546,0.05684858669884863,24
30元1張,nonrepeat_cnt_per_user,baseline_lag1,0.06696910566789799,0.07801846362497208,24
30元1張,nonrepeat_cnt_per_user,baseline_roll4,0.06321353051543602,0.07224761388706237,24
30元1張,nonrepeat_cnt_per_user,lgbm_global,0.03441094108539002,0.043582577629595165,24
40x2元1張,nonrepeat_cnt_per_user,baseline_lag1,0.06953880205764813,0.0840872398680168,24
40x2元1張,nonrepeat_cnt_per_user,baseline_roll4,0.048926210938723645,0.05962460628947562,24
40x2元1張,nonrepeat_cnt_per_user,lgbm_global,0.03392679651355343,0.044140762503368305,24
40元1張,nonrepeat_cnt_per_user,baseline_lag1,0.06699557694948684,0.08152100157385,24
40元1張,nonrepeat_cnt_per_user,baseline_roll4,0.05567956541053646,0.06613972207447014,24
40元1張,nonrepeat_cnt_per_user,lgbm_global,0.03617699818993206,0.046602488028335914,24
15x2元1張,trip_cnt_per_user,baseline_lag1,0.029805949030278066,0.03793984556607016,24
15x2元1張,trip_cnt_per_user,baseline_roll4,0.03068170166772625,0.04272584944239217,24
15x2元1張,trip_cnt_per_user,lgbm_global,0.027836455150994394,0.03623417890933864,24
15元1張,trip_cnt_per_user,baseline_lag1,0.030930285625249687,0.042205155603118244,24
15元1張,trip_cnt_per_user,baseline_roll4,0.03255318898800402,0.04339981750505817,24
15元1張,trip_cnt_per_user,lgbm_global,0.023602208975773597,0.02909573847417693,24
20x2元1張,trip_cnt_per_user,baseline_lag1,0.03123724327536088,0.03930209071962436,24
20x2元1張,trip_cnt_per_user,baseline_roll4,0.0279094715698591,0.03656521663853599,24
20x2元1張,trip_cnt_per_user,lgbm_global,0.025882173082603346,0.031894309211945665,24
20元1張,trip_cnt_per_user,baseline_lag1,0.0629673221627552,0.08958966728727397,24
20元1張,trip_cnt_per_user,baseline_roll4,0.04252045624992182,0.05661762556794079,24
20元1張,trip_cnt_per_user,lgbm_global,0.03387631901144376,0.045577398011455154,24
30x2元1張,trip_cnt_per_user,baseline_lag1,0.05177907888610794,0.07183853224175506,24
30x2元1張,trip_cnt_per_user,baseline_roll4,0.04114232320756377,0.053042712935555306,24
30x2元1張,trip_cnt_per_user,lgbm_global,0.03354420442114936,0.046593373825847204,24
30元1張,trip_cnt_per_user,baseline_lag1,0.047025521766087604,0.05898716626744292,24
30元1張,trip_cnt_per_user,baseline_roll4,0.03578126921340957,0.04266459616651853,24
30元1張,trip_cnt_per_user,lgbm_global,0.020824239540027822,0.024431404750436276,24
40x2元1張,trip_cnt_per_user,baseline_lag1,0.0401496615198588,0.05025941668421281,24
40x2元1張,trip_cnt_per_user,baseline_roll4,0.03144922491056079,0.038496036769596564,24
40x2元1張,trip_cnt_per_user,lgbm_global,0.030577826184007877,0.0382328617619508,24
40元1張,trip_cnt_per_user,baseline_lag1,0.04093560473658515,0.05465254844747836,24
40元1張,trip_cnt_per_user,baseline_roll4,0.03695361798456347,0.04637758596143691,24
40元1張,trip_cnt_per_user,lgbm_global,0.028617238833816127,0.035776470840541114,24
